model,pr_auc,delta_vs_bar,ci95_lo,ci95_hi,p_not_better,significant
"6b. HistGB tuned + OOF (line,hour) rate feature",0.31159631260503445,0.06883103195414589,0.06022269453048837,0.07742222430237317,0.0,True
6c. Blend: 0.5 * (tuned HistGB + smoothed lookup),0.3100301505237311,0.06726486987284255,0.05976040980318476,0.07336948677239324,0.0,True
"4. RandomForest (class_weight=balanced_subsample, min_samples_leaf=20)",0.30738922807137353,0.06462394742048497,0.054246206329335474,0.07436998103482341,0.0,True
"4. RandomForest (class_weight=None, min_samples_leaf=20)",0.3067778671752687,0.06401258652438016,0.053651713599987716,0.07288333483566398,0.0,True
5b. HistGB untuned + balanced sample_weight,0.3046578584470582,0.06189257779616966,0.052540000065771544,0.07003883999833654,0.0,True
5c. HistGB TUNED (random search on inner val),0.302915067157418,0.06014978650652944,0.05102348500002863,0.06894975975617403,0.0,True
5. HistGB untuned (sklearn defaults),0.29777450085134827,0.0550092202004597,0.04584142286172411,0.06281419848449994,0.0,True
6a. ExtraTrees,0.2833349430917719,0.04056966244088331,0.02998513529002491,0.04976373321920105,0.0,True
7. HistGB tuned + sigmoid calibration,0.2702785577379066,0.027513277087018034,0.01938539185419631,0.036785122084376995,0.0,True
3. LogisticRegression,0.2585095858386094,0.015744305187720825,0.00707847463035753,0.025414158071274267,0.0,True
7. HistGB tuned + isotonic calibration,0.2542627488516764,0.011497468200787814,0.003041585067734735,0.021273536670779573,0.0,True
3. LogisticRegression [class_weight=balanced],0.24992015730239933,0.0071548766515107665,-0.0016334032968537422,0.016790898424206918,0.056666666666666664,False
"2c. Lookup (line, stop, hour) + smoothing",0.2431207981900667,0.0003555175391781462,-0.005542561501298093,0.006277956375685175,0.45666666666666667,False
"2. Lookup (line_name, hour)  [THE BAR]",0.24276528065088857,0.0,0.0,0.0,1.0,False
"2b. Lookup (line, hour) + smoothing m=20",0.23489706175884095,-0.007868218892047613,-0.01285939993502894,-0.0033190010367487614,1.0,False
