learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,balanced,val_pr_auc,val_roc_auc,secs
0.2,100,7,500,0.0,True,0.123153355493655,0.7884738643564222,3.398886203765869
0.03,100,31,500,0.1,True,0.1228290875322217,0.7915641398756217,6.441778898239136
0.05,200,15,500,10.0,True,0.1213855196172645,0.7702714961437498,8.00964093208313
0.01,100,7,50,0.0,False,0.118562835947411,0.7585384392637807,3.3391900062561035
0.03,800,15,500,0.1,True,0.1181810341981634,0.7600673828057058,22.857159852981567
0.01,200,63,200,0.1,True,0.1178484864439513,0.7844698229281347,13.545037031173706
0.01,800,7,500,10.0,True,0.1158285499751641,0.7493495125557367,28.179714918136597
0.05,200,63,20,10.0,False,0.1137307223639697,0.7755943446752298,11.43502688407898
0.01,200,63,50,1.0,True,0.1119519961009182,0.7784991043702638,9.890749216079712
0.1,100,63,200,0.0,True,0.1111348993159036,0.7756044090691131,6.710062026977539
0.05,200,15,500,0.0,False,0.110847618275521,0.7393236200449494,7.376636981964111
0.03,200,15,500,1.0,True,0.1087234983762346,0.7518300479166469,7.7623162269592285
0.03,400,7,500,10.0,False,0.1087190705799826,0.7245861727251278,12.025864839553831
0.03,400,63,50,0.1,True,0.108633864621016,0.7594455856386367,19.745943069458008
0.03,100,15,500,1.0,False,0.1084484431019547,0.7527132829127463,5.0179359912872314
0.05,400,63,200,1.0,True,0.1074724775449028,0.7691385763691949,20.313525199890137
0.05,200,31,500,0.0,True,0.1072717790087579,0.7507120896403816,8.791143894195557
0.1,200,31,20,10.0,False,0.1069125009149512,0.7515975198901805,9.02967405319214
0.03,100,63,500,0.0,False,0.1048237184433318,0.7600654577370771,6.412014722824097
0.05,100,63,200,0.1,False,0.1042661411347387,0.7589868451617318,6.502382040023804
0.05,800,15,500,1.0,False,0.1032707822746244,0.7461315070443664,26.82587504386902
0.05,200,15,100,0.0,True,0.1031848304865973,0.731699470173831,7.810137748718262
0.01,400,63,50,0.1,False,0.1028542515375333,0.7677167274346663,20.96852421760559
0.05,200,31,100,0.1,False,0.1024469913399152,0.7638136001302832,8.368483066558838
0.01,200,15,100,0.1,False,0.1017567984935079,0.75984920836112,7.989441156387329
0.05,800,31,500,10.0,True,0.1009253272300195,0.7496436427783211,26.45387029647827
0.1,400,31,50,10.0,False,0.1007815985044322,0.748203488805253,17.10833716392517
0.01,800,7,100,10.0,True,0.1006712162585563,0.7266715624201476,25.54210209846497
0.05,400,63,100,0.1,False,0.0994334518266853,0.7629706227097172,18.073419094085693
0.03,800,7,100,0.1,False,0.0981010227905989,0.686210301116533,24.23206925392151
0.05,800,63,100,10.0,True,0.0974806983729282,0.7496620491362622,31.835983991622925
0.03,800,15,50,1.0,True,0.097396690748757,0.7005373373139699,27.86275100708008
0.1,200,7,100,10.0,True,0.0966777531253886,0.7210670797256027,7.287101745605469
0.2,800,31,500,10.0,False,0.096108486255182,0.7510638368292917,36.89390182495117
0.2,400,31,50,10.0,False,0.0953774498601568,0.7527027794681231,15.54345202445984
0.05,800,31,50,0.0,False,0.0953319772807153,0.7559074783647616,22.44932794570923
0.1,400,63,50,10.0,True,0.0939282797959984,0.7205373143482388,19.78429913520813
0.1,200,63,100,10.0,True,0.09380843290952,0.7444267405676872,10.587141036987305
0.2,800,31,50,10.0,False,0.0932473768154374,0.7554848075947942,32.19293403625488
0.1,800,7,100,10.0,True,0.0923005189882041,0.7159385955793534,24.88936686515808
0.03,400,31,50,10.0,True,0.0917065171669518,0.7160724722818824,16.03837013244629
0.2,100,63,500,0.0,False,0.0912746980024113,0.7404491097300603,5.418022871017456
0.01,100,7,200,1.0,True,0.0905060955689312,0.783699187560247,4.091892957687378
0.01,100,7,500,1.0,True,0.0905060955689312,0.783699187560247,4.193580865859985
0.2,800,15,200,10.0,True,0.0901718820256787,0.7544356451921546,24.496498107910156
0.2,200,7,500,10.0,False,0.0900515420997953,0.7132879111701735,6.26306414604187
0.05,100,15,50,0.1,False,0.0884969243182145,0.7468323333446136,3.617072105407715
0.1,100,31,200,10.0,True,0.0881055049629831,0.7073197931436079,4.477772951126099
0.01,200,15,200,1.0,True,0.0864331978425388,0.7698000907416559,10.414594650268556
0.2,800,7,20,0.0,True,0.0859566273664508,0.7423343598339632,23.89200472831726
0.05,400,31,100,0.0,True,0.0856070182139498,0.7023523055263587,17.872075080871582
0.03,800,31,20,10.0,True,0.0844277394027452,0.6984110145807401,32.21088004112244
0.03,800,7,50,0.0,False,0.0834362667158573,0.6824966748661081,21.680206060409542
0.2,800,7,500,10.0,False,0.0830207176564168,0.717011162763742,24.811989068984985
0.1,800,63,20,0.0,True,0.080493600304587,0.7334686082436033,26.097984075546265
0.01,100,15,500,0.1,True,0.0779179740273195,0.7682389276300507,5.432857990264893
0.1,800,7,100,1.0,False,0.0774030341335105,0.6801478547271613,18.49657607078552
0.1,800,7,100,0.1,False,0.076800895678928,0.6854878937837643,20.63155508041382
0.1,800,31,50,0.0,True,0.0703557143370895,0.7264506185785874,24.701053380966187
0.2,400,31,50,0.1,False,0.0691448012620147,0.7509338102640201,13.26307487487793
