model,n,pos,base,roc,pr,brier,population,threshold
"baseline (line,hour) lookup",115924,8082,0.06971809116317587,0.731924063447308,0.22597476012916182,0.059930671265994634,full_test,180
first_delay_s lookup (1 feature),115924,8082,0.06971809116317587,0.7175406192992405,0.4062347106238193,0.046286365123730196,full_test,180
(A) schedule-time HGB,115924,8082,0.06971809116317587,0.779806066562564,0.26297020764284745,0.058368798925432744,full_test,180
(B) nowcast HGB [first_delay],115924,8082,0.06971809116317587,0.8650011174431129,0.5745617998327514,0.04208824495905312,full_test,180
(B') + hindsight n_obs/lead_time,115924,8082,0.06971809116317587,0.9364692280279288,0.7467682758846265,0.030718812376904464,full_test,180
(B'') + delay_drift_s [LEAK],115924,8082,0.06971809116317587,0.9953821595095624,0.9731624358060912,0.006145480293478724,full_test,180
"baseline (line,hour) lookup",82627,6963,0.08427027484962543,0.7179889594888269,0.2443191245909212,0.0712032755522013,has_first_delay,180
first_delay_s lookup (1 feature),82627,6963,0.08427027484962543,0.7275755790803985,0.4603140864234674,0.05179226629453505,has_first_delay,180
(A) schedule-time HGB,82627,6963,0.08427027484962543,0.7630076945925124,0.2771042184570206,0.0697715063697629,has_first_delay,180
(B) nowcast HGB [first_delay],82627,6963,0.08427027484962543,0.8744411580596675,0.6257021668988985,0.04712303608544282,has_first_delay,180
(B') + hindsight n_obs/lead_time,82627,6963,0.08427027484962543,0.9400314396304399,0.7736701483997629,0.03495602229409706,has_first_delay,180
(B'') + delay_drift_s [LEAK],82627,6963,0.08427027484962543,0.9999983866327613,0.9999826485903766,0.00030726084542886045,has_first_delay,180
"baseline (line,hour) lookup",115924,2066,0.017822021324315932,0.7880849576272015,0.16588282424449358,0.016040411051549228,full_test,600
first_delay_s lookup (1 feature),115924,2066,0.017822021324315932,0.7965654179182822,0.5002686091665829,0.010622348489398394,full_test,600
(A) schedule-time HGB,115924,2066,0.017822021324315932,0.8215084198134266,0.15514393179227656,0.016758011522891404,full_test,600
(B) nowcast HGB [first_delay],115924,2066,0.017822021324315932,0.9067008548733713,0.55549304427837,0.011689403093543592,full_test,600
(B') + hindsight n_obs/lead_time,115924,2066,0.017822021324315932,0.9734474883092179,0.8197199737203351,0.006991277675228011,full_test,600
(B'') + delay_drift_s [LEAK],115924,2066,0.017822021324315932,0.9971405126716748,0.971675058810892,0.0014684651789118,full_test,600
"baseline (line,hour) lookup",82627,1803,0.02182095440957556,0.7916926915938326,0.17995908460219995,0.019442020638262784,has_first_delay,600
first_delay_s lookup (1 feature),82627,1803,0.02182095440957556,0.845729189706533,0.5706263187149827,0.011743697410256685,has_first_delay,600
(A) schedule-time HGB,82627,1803,0.02182095440957556,0.8116182541947722,0.16484297500135225,0.020447572304301925,has_first_delay,600
(B) nowcast HGB [first_delay],82627,1803,0.02182095440957556,0.9170040814771471,0.6155459407732364,0.013343057428578237,has_first_delay,600
(B') + hindsight n_obs/lead_time,82627,1803,0.02182095440957556,0.978142742755717,0.8400960572578315,0.008198518836815369,has_first_delay,600
(B'') + delay_drift_s [LEAK],82627,1803,0.02182095440957556,0.9999899125529509,0.9995697181791379,0.0004395208993441982,has_first_delay,600
"baseline (line,hour) lookup",133338,5435,0.040761073362432315,0.6080043955227944,0.054071411098464035,0.03958043195000085,all_rows,cancelled
"baseline (line,stop) lookup",133338,5435,0.040761073362432315,0.6425113101571963,0.055690570629414425,0.03937132036920363,all_rows,cancelled
schedule-time HGB,133338,5435,0.040761073362432315,0.7523709639638151,0.14249956460421187,0.11140604053297322,all_rows,cancelled
