variant,thr_s,model,roc_auc,pr_auc,pos_rate,n_test
all-upstream,180,"(line,hour) lookup",0.7239173330144072,0.18531027642148679,0.05512277479932466,33761
all-upstream,180,raw upstream delay,0.748112923412262,0.46952968715089644,0.05512277479932466,33761
all-upstream,180,raw own first estimate,0.6361288719618502,0.26572136112470496,0.05512277479932466,33761
all-upstream,180,GBM no-upstream,0.7367468614137072,0.19446334175120425,0.05512277479932466,33761
all-upstream,180,GBM +upstream,0.9296809110954268,0.6587093653757862,0.05512277479932466,33761
all-upstream,180,GBM +own-estimate,0.8229152173217285,0.45564875802041976,0.05512277479932466,33761
all-upstream,180,GBM +own +upstream,0.9352689591162603,0.6971469123553767,0.05512277479932466,33761
all-upstream,180,GBM +own +upstream +crossline,0.9448854813958856,0.72133945704783,0.05512277479932466,33761
all-upstream,600,"(line,hour) lookup",0.7844556875520142,0.0870155100730885,0.008441693077811676,33761
all-upstream,600,raw upstream delay,0.8358686925223202,0.4816888005015416,0.008441693077811676,33761
all-upstream,600,raw own first estimate,0.7686106621554484,0.34174761688315813,0.008441693077811676,33761
all-upstream,600,GBM no-upstream,0.7914591338544712,0.06408595779036953,0.008441693077811676,33761
all-upstream,600,GBM +upstream,0.9500082803495775,0.5047580205861077,0.008441693077811676,33761
all-upstream,600,GBM +own-estimate,0.8566249085493038,0.3876278379423869,0.008441693077811676,33761
all-upstream,600,GBM +own +upstream,0.9480874488767025,0.5227874909935515,0.008441693077811676,33761
all-upstream,600,GBM +own +upstream +crossline,0.9533440558619635,0.5765165515117758,0.008441693077811676,33761
strict lead>=300s,180,"(line,hour) lookup",0.7605047669937549,0.19632012633723273,0.0496490070198596,33334
strict lead>=300s,180,raw upstream delay,0.7202403566974567,0.40235678679519143,0.0496490070198596,33334
strict lead>=300s,180,raw own first estimate,0.6287871376665606,0.24444867757885497,0.0496490070198596,33334
strict lead>=300s,180,GBM no-upstream,0.7788794868158679,0.21250783193977305,0.0496490070198596,33334
strict lead>=300s,180,GBM +upstream,0.9187056451570603,0.5986432532949163,0.0496490070198596,33334
strict lead>=300s,180,GBM +own-estimate,0.8378442875182308,0.43907003241492143,0.0496490070198596,33334
strict lead>=300s,180,GBM +own +upstream,0.9241867509893668,0.6405003306604126,0.0496490070198596,33334
strict lead>=300s,180,GBM +own +upstream +crossline,0.9366455939389737,0.6632411215793745,0.0496490070198596,33334
strict lead>=300s,600,"(line,hour) lookup",0.8228143516465487,0.09395586425940247,0.007349853002939942,33334
strict lead>=300s,600,raw upstream delay,0.8135510228752263,0.4299053917220746,0.007349853002939942,33334
strict lead>=300s,600,raw own first estimate,0.7693122629691969,0.33653450131508394,0.007349853002939942,33334
strict lead>=300s,600,GBM no-upstream,0.8340996237111908,0.07997329401434039,0.007349853002939942,33334
strict lead>=300s,600,GBM +upstream,0.941858722394334,0.41988059087804924,0.007349853002939942,33334
strict lead>=300s,600,GBM +own-estimate,0.8905042738785502,0.32489862452261736,0.007349853002939942,33334
strict lead>=300s,600,GBM +own +upstream,0.9475782382825293,0.4324746070317904,0.007349853002939942,33334
strict lead>=300s,600,GBM +own +upstream +crossline,0.9549450739224639,0.5207188589324001,0.007349853002939942,33334
