thr_s,model,roc_auc,pr_auc,pos_rate,n_test
180,"(line,hour) lookup",0.731526648545717,0.21265787858074522,0.06971809116317587,115924
180,GBM base,0.7289944358735638,0.22280857452964517,0.06971809116317587,115924
180,GBM +crossline,0.7937943044440614,0.27149810855713213,0.06971809116317587,115924
180,GBM +own-estimate,0.8232767864712451,0.4983370699168385,0.06971809116317587,115924
180,GBM +own +crossline,0.862839764995543,0.5359367452849151,0.06971809116317587,115924
600,"(line,hour) lookup",0.7953121351187312,0.1557498022612288,0.017822021324315932,115924
600,GBM base,0.8039031422387735,0.13344211360792058,0.017822021324315932,115924
600,GBM +crossline,0.8747577335039891,0.19956262904264355,0.017822021324315932,115924
600,GBM +own-estimate,0.8866777905298965,0.3753210252602682,0.017822021324315932,115924
600,GBM +own +crossline,0.9185595465910161,0.47795838952017666,0.017822021324315932,115924
