model,roc_auc,pr_auc,brier,pos_rate,pr_auc_lift_vs_base,fit_s,notes
"6b. HistGB tuned + OOF (line,hour) rate feature",0.8032731218561413,0.31159631260503445,0.17310950534409586,0.07971083571655545,3.909083499174979,1.6954751014709473,target encoding computed out-of-fold on train only
6c. Blend: 0.5 * (tuned HistGB + smoothed lookup),0.8017137585325238,0.3100301505237311,0.08684755781006341,0.07971083571655545,3.889435454248283,0.0,rank-and-probability average of the two best single models
"4. RandomForest (class_weight=balanced_subsample, min_samples_leaf=20)",0.8051873203815623,0.30738922807137353,0.1371881924427079,0.07971083571655545,3.856304168788569,419.19243597984314,ordinal-encoded cats [inner-search pick]
"4. RandomForest (class_weight=None, min_samples_leaf=20)",0.8002342834562752,0.3067778671752687,0.0645456978294549,0.07971083571655545,3.8486344349235426,6.824883937835693,ordinal-encoded cats
5b. HistGB untuned + balanced sample_weight,0.8013750434442135,0.3046578584470582,0.17152836411529976,0.07971083571655545,3.8220381922778244,1.4310579299926758,isolates the effect of imbalance handling alone
5c. HistGB TUNED (random search on inner val),0.7994496749137976,0.302915067157418,0.17293691788499976,0.07971083571655545,3.800174272849888,425.9708979129791,"{'learning_rate': 0.2, 'max_iter': 100, 'max_leaf_nodes': 7, 'min_samples_leaf': 500, 'l2_regularization': 0.0, 'balanced': True}"
5. HistGB untuned (sklearn defaults),0.8006839828332784,0.29777450085134827,0.06566658553765353,0.07971083571655545,3.7356840908080247,1.5882718563079834,reproduction of the previously reported model
6a. ExtraTrees,0.781137404925871,0.2833349430917719,0.06600592939164837,0.07971083571655545,3.5545348451656613,3.532687187194824,
7. HistGB tuned + sigmoid calibration,0.7770588286688853,0.2702785577379066,0.0656708130662388,0.07971083571655545,3.390737975687431,0.1494917869567871,calibrator fit on the held-out inner validation slice
3. LogisticRegression,0.774844748544485,0.2585095858386094,0.06643360663887633,0.07971083571655545,3.2430921532154824,1.6827027797698975,"one-hot cats (min_freq 20), standardised numerics"
7. HistGB tuned + isotonic calibration,0.776055396769159,0.2542627488516764,0.06617995012997899,0.07971083571655545,3.1898141145554137,0.1490490436553955,calibrator fit on the held-out inner validation slice
3. LogisticRegression [class_weight=balanced],0.771790426645705,0.24992015730239933,0.2211862407195677,0.07971083571655545,3.135334801796495,3.2778871059417725,"one-hot cats (min_freq 20), standardised numerics"
"2c. Lookup (line, stop, hour) + smoothing",0.7286831320133785,0.2431207981900667,0.06789315839295863,0.07971083571655545,3.050034490349372,0.040899038314819336,finer group; tests whether the bar itself can simply be raised
"2. Lookup (line_name, hour)  [THE BAR]",0.7182947297077478,0.24276528065088857,0.06756469879580734,0.07971083571655545,3.0455743998738143,0.0739283561706543,"historical train rate per group, global rate for unseen groups"
"2b. Lookup (line, hour) + smoothing m=20",0.7169278941180981,0.23489706175884095,0.06829159415223844,0.07971083571655545,2.9468648728525912,0.025293827056884766,empirical-Bayes shrink of small groups toward the global rate
1. Dummy (train base rate),0.5,0.07971083571655545,0.07338722757133732,0.07971083571655545,1.0,0.024914026260375977,no-skill floor; PR-AUC == test base rate by construction
