route_id,line_name,route_type,product
28806_700,570,700,bus
28805_700,561,700,bus
28804_700,557,700,bus
28803_700,556,700,bus
28802_700,554,700,bus
28801_700,550,700,bus
28800_700,548,700,bus
28799_700,546,700,bus
28400_700,568,700,bus
28399_700,567,700,bus
22624_700,540,700,bus
22454_700,545,700,bus
22453_700,543,700,bus
22452_700,542,700,bus
22451_700,541,700,bus
22424_700,E30,700,bus
20931_700,640,700,bus
20930_700,641,700,bus
20845_700,549,700,bus
19211_700,X43,700,bus
18945_700,X1,700,bus
18943_700,N13,700,bus
18941_700,647,700,bus
18940_700,646,700,bus
18939_700,645,700,bus
18938_700,644,700,bus
18937_700,643,700,bus
18935_700,635,700,bus
18934_700,634,700,bus
18933_700,633,700,bus
18932_700,632,700,bus
18931_700,631,700,bus
18930_700,630,700,bus
18929_700,629,700,bus
18928_700,628,700,bus
18927_700,627,700,bus
18926_700,626,700,bus
18924_700,624,700,bus
18923_700,623,700,bus
18922_700,622,700,bus
18921_700,621,700,bus
18920_700,620,700,bus
18917_700,613,700,bus
18916_700,612,700,bus
18915_700,611,700,bus
18914_700,610,700,bus
18913_700,608,700,bus
18911_700,607,700,bus
18910_700,602,700,bus
18909_700,601,700,bus
18908_700,590,700,bus
18907_700,589,700,bus
18906_700,588,700,bus
18905_700,587,700,bus
18904_700,586,700,bus
18902_700,584,700,bus
18901_700,583,700,bus
18900_700,582,700,bus
18899_700,581,700,bus
18898_700,580,700,bus
18897_700,572,700,bus
18895_700,569,700,bus
18893_700,564,700,bus
18892_700,563,700,bus
18891_700,562,700,bus
18889_700,560,700,bus
18888_700,558,700,bus
18886_700,553,700,bus
18885_700,552,700,bus
18884_700,551,700,bus
29221_700,623,700,bus
29220_700,622,700,bus
28712_700,339,700,bus
28260_900,21,900,tram
27569_700,215,700,bus
26782_700,N63,700,bus
26781_700,893,700,bus
26780_700,358,700,bus
24759_700,X36,700,bus
24641_900,18,900,tram
23984_700,334R,700,bus
23416_700,N43,700,bus
23415_700,M43,700,bus
23414_700,143,700,bus
23154_700,X37,700,bus
22755_700,N96,700,bus
22754_700,M36,700,bus
22674_700,N64,700,bus
22609_700,744,700,bus
22390_700,X71,700,bus
22389_700,N7X,700,bus
21681_700,N77,700,bus
21680_700,N12,700,bus
21284_700,300,700,bus
20359_700,N18,700,bus
19019_700,365,700,bus
18374_700,169,700,bus
17994_700,U2,700,bus
17744_700,M2,700,bus
17619_700,310,700,bus
17538_700,X83,700,bus
17537_700,X76,700,bus
17536_700,X69,700,bus
17535_700,X54,700,bus
17534_700,X49,700,bus
17533_700,X34,700,bus
17532_700,X33,700,bus
17531_700,X21,700,bus
17530_700,X11,700,bus
17529_700,X10,700,bus
17527_700,X7,700,bus
17526_400,U9,400,subway
17525_400,U8,400,subway
17524_700,U8,700,bus
17523_400,U7,400,subway
17522_700,U7,700,bus
17521_400,U6,400,subway
17520_700,U6,700,bus
17518_400,U5,400,subway
17517_700,U5,700,bus
17516_400,U4,400,subway
17515_400,U3,400,subway
17514_400,U2,400,subway
17512_400,U1,400,subway
17510_700,N97,700,bus
17509_700,N95,700,bus
17508_700,N94,700,bus
17507_700,N91,700,bus
17505_700,N88,700,bus
17504_700,N84,700,bus
17503_700,N81,700,bus
17501_700,N70,700,bus
17500_700,N69,700,bus
17499_700,N68,700,bus
17497_700,N65,700,bus
17496_700,N62,700,bus
17495_700,N61,700,bus
17494_700,N60,700,bus
17493_700,N58,700,bus
17492_700,N56,700,bus
17491_700,N53,700,bus
17490_700,N52,700,bus
17489_700,N50,700,bus
17488_700,N42,700,bus
17487_700,N40,700,bus
17486_700,N39,700,bus
17485_700,N35,700,bus
17484_700,N34,700,bus
17483_700,N33,700,bus
17482_700,N30,700,bus
17481_700,N26,700,bus
17480_700,N25,700,bus
17479_700,N24,700,bus
17478_700,N23,700,bus
17477_700,N22,700,bus
17476_700,N20,700,bus
17474_700,N10,700,bus
17473_700,N9,700,bus
17472_700,N8,700,bus
17471_700,N7,700,bus
17470_700,N6,700,bus
17469_700,N5,700,bus
17468_700,N3,700,bus
17467_700,N2,700,bus
17466_700,N1,700,bus
17465_700,M85,700,bus
17464_700,M82,700,bus
17463_900,M8,900,tram
17462_700,M77,700,bus
17461_700,M76,700,bus
17460_900,M6,900,tram
17459_900,M5,900,tram
17458_700,M49,700,bus
17457_700,M48,700,bus
17456_700,M46,700,bus
17455_700,M45,700,bus
17454_700,M44,700,bus
17453_700,M41,700,bus
17452_900,M4,900,tram
17451_700,M37,700,bus
17450_700,M32,700,bus
17449_700,M29,700,bus
17448_700,M27,700,bus
17447_700,M21,700,bus
17446_900,M2,900,tram
17445_700,M19,700,bus
17444_900,M17,900,tram
17443_700,M17,700,bus
17442_900,M13,900,tram
17441_700,M11,700,bus
17440_900,M10,900,tram
17438_900,M1,900,tram
17437_700,M8,700,bus
17436_700,M5,700,bus
17435_700,M1,700,bus
17434_1000,F24,1000,ferry
17433_1000,F23,1000,ferry
17432_1000,F21,1000,ferry
17431_1000,F12,1000,ferry
17430_1000,F11,1000,ferry
17429_1000,F10,1000,ferry
17427_900,27,900,tram
17425_900,M17,900,tram
17424_900,M8,900,tram
17422_900,68,900,tram
17421_900,67,900,tram
17420_900,63,900,tram
17419_900,62,900,tram
17418_900,61,900,tram
17417_900,60,900,tram
17416_900,50,900,tram
17415_700,399,700,bus
17414_700,398,700,bus
17413_700,396,700,bus
17412_700,395,700,bus
17411_700,390,700,bus
17410_700,380,700,bus
17409_700,377,700,bus
17407_700,372,700,bus
17406_700,371,700,bus
17404_900,37,900,tram
17403_700,369,700,bus
17402_700,363,700,bus
17401_700,353,700,bus
17400_700,350,700,bus
17399_700,349,700,bus
17398_700,347,700,bus
17395_700,337,700,bus
17394_700,334,700,bus
17393_700,327,700,bus
17392_700,326,700,bus
17391_700,324,700,bus
17390_700,322,700,bus
17389_700,320,700,bus
17388_700,318,700,bus
17387_700,316,700,bus
17385_700,309,700,bus
17384_700,296,700,bus
17383_700,294,700,bus
17382_700,291,700,bus
17381_700,285,700,bus
17380_700,284,700,bus
17379_700,283,700,bus
17378_700,282,700,bus
17377_700,277,700,bus
17376_700,275,700,bus
17375_700,271,700,bus
17374_900,27,900,tram
17373_700,269,700,bus
17372_700,265,700,bus
17370_700,260,700,bus
17369_700,259,700,bus
17368_700,256,700,bus
17367_700,255,700,bus
17366_700,250,700,bus
17365_700,249,700,bus
17364_700,248,700,bus
17363_700,247,700,bus
17362_700,246,700,bus
17361_700,245,700,bus
17360_700,240,700,bus
17359_700,237,700,bus
17357_700,234,700,bus
17356_700,222,700,bus
17355_700,221,700,bus
17354_700,220,700,bus
17353_700,218,700,bus
17352_900,21,900,tram
17351_700,204,700,bus
17350_700,200,700,bus
17349_700,197,700,bus
17348_700,195,700,bus
17347_700,194,700,bus
17346_700,192,700,bus
17345_700,191,700,bus
17344_700,190,700,bus
17343_700,188,700,bus
17342_700,187,700,bus
17341_700,186,700,bus
17340_700,184,700,bus
17339_700,181,700,bus
17338_900,18,900,tram
17337_700,179,700,bus
17336_700,175,700,bus
17335_700,172,700,bus
17334_700,171,700,bus
17333_700,170,700,bus
17332_700,168,700,bus
17331_700,166,700,bus
17330_700,165,700,bus
17329_700,164,700,bus
17328_700,163,700,bus
17327_700,162,700,bus
17326_700,161,700,bus
17325_700,160,700,bus
17324_900,16,900,tram
17323_700,158,700,bus
17322_700,156,700,bus
17321_700,155,700,bus
17320_700,154,700,bus
17319_700,150,700,bus
17318_700,147,700,bus
